app - INFO - Microblog startup
werkzeug - INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:38:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:39:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:39:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:39:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:39:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:39:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:39:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:39:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:40:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:40:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:40:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:40:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:40:33] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:40:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:40:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:41:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:41:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:41:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:41:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:41:33] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:41:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:41:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:42:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:42:12] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:42:22] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:42:32] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:42:33] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:42:42] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:42:52] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:43:02] "GET /notifications?since=0 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [11/Jul/2022 09:43:12] "GET /notifications?since=0 HTTP/1.1" 200 -
